Регион;Округ;Год;Направления реализации государственной молодeжной политики;№ строки; Бюджет СРФ, руб ; Бюджет МО, руб ; Кол-во грантов ; Бюджет грантов, руб ; Численность молодeжи, задействованной в программных мероприятиях по направлению ; Количество детских и молодeжных общественных объединений, работающих по данному  
Алтайский край;СФО;2021;Вовлечение молодeжи в инновационную деятельность и научно-техническое творчество, в том числе:;1;7176890;123085;4;35485;3845;44
Алтайский край;СФО;2021;      биомедицина;2; -   ; -   ; -   ; -   ; -   ; -   
Алтайский край;СФО;2021;"      промышленные технологии
      (нанотехнологии, композиты, пр.)";3; -   ; -   ; -   ; -   ;10; -   
Алтайский край;СФО;2021;      аэрокосмос;4; -   ; -   ; -   ; -   ;28;1
Алтайский край;СФО;2021;      сельское хозяйство;5; -   ;1000; -   ; -   ;247; -   
Алтайский край;СФО;2021;"      информационные технологии - IT
      (в том числе робототехника)";6; -   ;86600; -   ; -   ;1879;28
Алтайский край;СФО;2021;      другое;7;7176890;35485;4;35485;1681;15
Алтайский край;СФО;2021;Социализация молодeжи, нуждающейся в особой заботе государства;8;50000;194948;1;119000;3431;73
Алтайский край;СФО;2021;Вовлечение молодeжи в работу средств массовой информации (молодeжные медиа);9;1006370;151900;3;106900;6214;141
Алтайский край;СФО;2021;Содействие в подготовке и переподготовке специалистов в сфере государственной молодeжной политики;10;4049340;16700; -   ; -   ;45;
Алтайский край;СФО;2021;Развитие международного и межрегионального молодeжного сотрудничества;11;26949320;39200; -   ; -   ;3113;18
Алтайский край;СФО;2021;Работа с молодeжью, находящейся в социально-опасном положении;12;300000;630502;1;50000;6969;194
Алтайский край;СФО;2021;Вовлечение молодeжи в занятие творческой деятельностью;13;2305420;1293410;7;184519;145450;729
Алтайский край;СФО;2021;Содействие профориентации и карьерным устремлениям молодeжи;14;4500870;1654282;2;86000;9085;95
Алтайский край;СФО;2021;Поддержка и взаимодействие с общественными организациями и движениями;15; -   ;1832411;18;1599408;41086;
Алтайский край;СФО;2021;Формирование у молодeжи семейных ценностей;16;210090;281176;4;209581;16215;102
Алтайский край;СФО;2021;Патриотическое воспитание молодeжи, в том числе:;17;1743740;3780036;5;190000;124000;634
Алтайский край;СФО;2021;"      на развитие и мероприятия
      военно-патриотических клубов";18;511200;946568;3;150000;8673;153
Алтайский край;СФО;2021;      поисковых отрядов и объединений;19;710420;130000; -   ; -   ;1297;14
Алтайский край;СФО;2021;      историко-краеведческих кружков и объединений исторической реконструкции;20;11000;92000; -   ; -   ;2549;57
Алтайский край;СФО;2021;      молодeжных казачьих объединений;21; -   ; -   ; -   ; -   ;253;12
Алтайский край;СФО;2021;"      волонтeрских объединений в сфере
      патриотического воспитания детей
      и молодeжи";22;92190;390010; -   ; -   ;30875;354
Алтайский край;СФО;2021;      другие;23;418930;2221458;2;40000;80353;44
Алтайский край;СФО;2021;Формирование российской идентичности, единства российской нации, содействие межкультурному и межконфессиональному диалогу;24;1300000;536621;1;49581;35018;171
Алтайский край;СФО;2021;Вовлечение молодeжи в волонтeрскую деятельность;25;9589740;608421;5;159000;92522;640
Алтайский край;СФО;2021;Вовлечение молодeжи в здоровый образ жизни и занятия спортом, популяризация культуры безопасности в молодeжной среде;26;89320;4270546;9;358000;98668;675
Алтайский край;СФО;2021;Развитие молодeжного самоуправления;27;566950;230828;1;24000;8418;
Амурская область;ДФО;2021;Вовлечение молодeжи в инновационную деятельность и научно-техническое творчество, в том числе:;1; -   ;3833196;2;245700;12343;55
Амурская область;ДФО;2021;      биомедицина;2; -   ; -   ; -   ; -   ;131;1
Амурская область;ДФО;2021;"      промышленные технологии
      (нанотехнологии, композиты, пр.)";3; -   ; -   ; -   ; -   ; -   ; -   
Амурская область;ДФО;2021;      аэрокосмос;4; -   ; -   ;2;245700;178;2
Амурская область;ДФО;2021;      сельское хозяйство;5; -   ;20000; -   ; -   ;220;1
Амурская область;ДФО;2021;"      информационные технологии - IT
      (в том числе робототехника)";6; -   ;3384613; -   ; -   ;2529;40
Амурская область;ДФО;2021;      другое;7; -   ;428583; -   ; -   ;9285;11
Амурская область;ДФО;2021;Социализация молодeжи, нуждающейся в особой заботе государства;8; -   ;244344;1;186220;4005;42
Амурская область;ДФО;2021;Вовлечение молодeжи в работу средств массовой информации (молодeжные медиа);9; -   ;331709; -   ; -   ;1223;57
Амурская область;ДФО;2021;Содействие в подготовке и переподготовке специалистов в сфере государственной молодeжной политики;10; -   ;1700; -   ; -   ;56;
Амурская область;ДФО;2021;Развитие международного и межрегионального молодeжного сотрудничества;11; -   ; -   ; -   ; -   ;704;1
Амурская область;ДФО;2021;Работа с молодeжью, находящейся в социально-опасном положении;12; -   ;612472;2;20000;7542;50
Амурская область;ДФО;2021;Вовлечение молодeжи в занятие творческой деятельностью;13;580000;1150067;3;60000;223174;461
Амурская область;ДФО;2021;Содействие профориентации и карьерным устремлениям молодeжи;14;2007150;462808; -   ; -   ;13959;44
Амурская область;ДФО;2021;Поддержка и взаимодействие с общественными организациями и движениями;15; -   ;559439;3;293830;14085;
Амурская область;ДФО;2021;Формирование у молодeжи семейных ценностей;16; -   ;777447; -   ; -   ;8679;52
Амурская область;ДФО;2021;Патриотическое воспитание молодeжи, в том числе:;17;1070000;1694369; -   ; -   ;36178;284
Амурская область;ДФО;2021;"      на развитие и мероприятия
      военно-патриотических клубов";18;35000;663109; -   ; -   ;6935;87
Амурская область;ДФО;2021;      поисковых отрядов и объединений;19; -   ;10000; -   ; -   ;3115;11
Амурская область;ДФО;2021;      историко-краеведческих кружков и объединений исторической реконструкции;20; -   ;39000; -   ; -   ;785;32
Амурская область;ДФО;2021;      молодeжных казачьих объединений;21; -   ;10000; -   ; -   ;84;4
Амурская область;ДФО;2021;"      волонтeрских объединений в сфере
      патриотического воспитания детей
      и молодeжи";22;755000;119329; -   ; -   ;11393;115
Амурская область;ДФО;2021;      другие;23;280000;852931; -   ; -   ;13866;35
Амурская область;ДФО;2021;Формирование российской идентичности, единства российской нации, содействие межкультурному и межконфессиональному диалогу;24;180000;351733; -   ; -   ;19750;38
Амурская область;ДФО;2021;Вовлечение молодeжи в волонтeрскую деятельность;25;1450000;1805650; -   ; -   ;32259;145
Амурская область;ДФО;2021;Вовлечение молодeжи в здоровый образ жизни и занятия спортом, популяризация культуры безопасности в молодeжной среде;26; -   ;3059463;6;580300;68264;296
Амурская область;ДФО;2021;Развитие молодeжного самоуправления;27;675000;788110; -   ; -   ;14173;
Архангельская область;СЗФО;2021;Вовлечение молодeжи в инновационную деятельность и научно-техническое творчество, в том числе:;1; -   ;148300; -   ; -   ;19539;876
Архангельская область;СЗФО;2021;      биомедицина;2; -   ; -   ; -   ; -   ;210;1
Архангельская область;СЗФО;2021;"      промышленные технологии
      (нанотехнологии, композиты, пр.)";3; -   ; -   ; -   ; -   ;62;1
Архангельская область;СЗФО;2021;      аэрокосмос;4; -   ; -   ; -   ; -   ; -   ;
