Регион;Округ;Год;Наименование;№ строки; Кол-во структур, ед ; Всего кол-во сотрудников, чел ; Всего с профильным образованием ; Всего объeм финансирования, руб ; Расходы на мероприятия ; Расходы на адм функции ; Расходы на ремонт 
Алтайский край;СФО;2021;Региональные структуры по работе с молодeжью, в том числе:;28;3;79;1;121243602;68186270;52268310;789022
Алтайский край;СФО;2021;"      региональный орган
      исполнительной власти";29;1;28; -   ;34404000;7000000;27404000; -   
Алтайский край;СФО;2021;"      бюджетные
      учреждения";30;2;51;1;86839602;61186270;24864310;789022
Алтайский край;СФО;2021;Муниципальные структуры по работе с молодeжью, в том числе:;31;80;127;33;11474299;5817581;5302718;354000
Алтайский край;СФО;2021;"      муниципальные
      органы
      испольнительной власти";32;69;92;19;10204299;4903131;5141168;160000
Алтайский край;СФО;2021;"      муниципальные
      бюджетные
      учреждения";33;11;35;14;1270000;914450;161550;194000
Амурская область;ДФО;2021;Региональные структуры по работе с молодeжью, в том числе:;28;1;44; -   ;43890792;13854300;30036492; -   
Амурская область;ДФО;2021;"      региональный орган
      исполнительной власти";29;1;44; -   ;43890792;13854300;30036492; -   
Амурская область;ДФО;2021;"      бюджетные
      учреждения";30; -   ; -   ; -   ; -   ; -   ; -   ; -   
Амурская область;ДФО;2021;Муниципальные структуры по работе с молодeжью, в том числе:;31;34;77;5;50063687;9295387;27756083;13012217
Амурская область;ДФО;2021;"      муниципальные
      органы
      испольнительной власти";32;28;40;5;11122640;6559123;4563517; -   
Амурская область;ДФО;2021;"      муниципальные
      бюджетные
      учреждения";33;6;37; -   ;38941047;2736264;23192566;13012217
Архангельская область;СЗФО;2021;Региональные структуры по работе с молодeжью, в том числе:;28;5;126;44;477180826;233793800;82614026;160773000
Архангельская область;СЗФО;2021;"      региональный орган
      исполнительной власти";29;1;23;4;91594226;85017200;6577026; -   
Архангельская область;СЗФО;2021;"      бюджетные
      учреждения";30;4;103;40;385586600;148776600;76037000;160773000
Архангельская область;СЗФО;2021;Муниципальные структуры по работе с молодeжью, в том числе:;31;28;128;57;105660403;28126639;68812787;8720977
Архангельская область;СЗФО;2021;"      муниципальные
      органы
      испольнительной власти";32;25;45;18;34389164;23523141;10866023;
Архангельская область;СЗФО;2021;"      муниципальные
      бюджетные
      учреждения";33;3;83;39;71271239;4603498;57946764;8720977
Астраханская  область;ЮФО;2021;Региональные структуры по работе с молодeжью, в том числе:;28;4;119;38;87125958;32940727;54185231; -   
Астраханская  область;ЮФО;2021;"      региональный орган
      исполнительной власти";29;1;13;9;10497327;;10497327;
Астраханская  область;ЮФО;2021;"      бюджетные
      учреждения";30;3;106;29;76628631;32940727;43687904;
Астраханская  область;ЮФО;2021;Муниципальные структуры по работе с молодeжью, в том числе:;31;37;180;36;52404471;10189380;41415091;800000
Астраханская  область;ЮФО;2021;"      муниципальные
      органы
      испольнительной власти";32;11;33;2;17714081;8091679;9622402;
Астраханская  область;ЮФО;2021;"      муниципальные
      бюджетные
      учреждения";33;26;147;34;34690390;2097701;31792689;800000
Белгородская область;ЦФО;2021;Региональные структуры по работе с молодeжью, в том числе:;28;2;94;62;89048464;42682278;46366186; -   
Белгородская область;ЦФО;2021;"      региональный орган
      исполнительной власти";29;1;10;8;24298507;24298507; -   ; -   
Белгородская область;ЦФО;2021;"      бюджетные
      учреждения";30;1;84;54;64749957;18383771;46366186; -   
Белгородская область;ЦФО;2021;Муниципальные структуры по работе с молодeжью, в том числе:;31;38;177;19;94546125;22294901;72243224;8000
Белгородская область;ЦФО;2021;"      муниципальные
      органы
      испольнительной власти";32;22;71;15;43811523;16985742;26817781;8000
Белгородская область;ЦФО;2021;"      муниципальные
      бюджетные
      учреждения";33;16;106;4;50734602;5309159;45425443; -   
Брянская область;ЦФО;2021;Региональные структуры по работе с молодeжью, в том числе:;28;2;12;5;24112455;24112455; -   ; -   
Брянская область;ЦФО;2021;"      региональный орган
      исполнительной власти";29;1;7;5;18262455;18262455; -   ; -   
Брянская область;ЦФО;2021;"      бюджетные
      учреждения";30;1;5; -   ;5850000;5850000; -   ; -   
Брянская область;ЦФО;2021;Муниципальные структуры по работе с молодeжью, в том числе:;31;36;68;12;7694636;4968228;2726408; -   
Брянская область;ЦФО;2021;"      муниципальные
      органы
      испольнительной власти";32;31;48;9;7273423;4821171;2452252; -   
Брянская область;ЦФО;2021;"      муниципальные
      бюджетные
      учреждения";33;5;20;3;421213;147057;274156; -   
Владимирская область;ЦФО;2021;Региональные структуры по работе с молодeжью, в том числе:;28;1;13;1;137284;137284; -   ; -   
Владимирская область;ЦФО;2021;"      региональный орган
      исполнительной власти";29;1;13;1;137284;137284; -   ; -   
Владимирская область;ЦФО;2021;"      бюджетные
      учреждения";30; -   ; -   ; -   ; -   ; -   ; -   ; -   
Владимирская область;ЦФО;2021;Муниципальные структуры по работе с молодeжью, в том числе:;31;31;206;7;190625587;12642920;176323645;1659022
Владимирская область;ЦФО;2021;"      муниципальные
      органы
      испольнительной власти";32;16;45;2;91878291;10194697;81683594; -   
Владимирская область;ЦФО;2021;"      муниципальные
      бюджетные
      учреждения";33;15;161;5;98747296;2448223;94640051;1659022
Волгоградская область;ЮФО;2021;Региональные структуры по работе с молодeжью, в том числе:;28;5;164;55;116595610;40391710;76203900; -   
Волгоградская область;ЮФО;2021;"      региональный орган
      исполнительной власти";29;1;10;10;6144200;1675500;4468700; -   
